constraint,pi,slack,abs_pi
max_chargers_S21,0.0,10.0,0.0
max_chargers_S20,0.0,30.13108108108108,0.0
max_chargers_S19,0.0,25.28978821281224,0.0
max_chargers_S18,0.0,4.689772727272727,0.0
capacity_S41,0.0,0.9481387608000001,0.0
capacity_S40,0.0,2.2316834232000002,0.0
max_chargers_S57,0.0,42.0,0.0
max_chargers_S43,0.0,122.13513513513513,0.0
max_chargers_S42,0.0,34.93648648648649,0.0
max_chargers_S27,0.0,28.0,0.0
min_power_S28,0.0,-0.0,0.0
min_power_S27,0.0,-0.0,0.0
min_power_S26,0.0,-550.0,0.0
min_power_S24,0.0,-495.03999999999996,0.0
min_power_S21,0.0,-6.729999999999999,0.0
min_power_S19,0.0,-0.2655672251894181,0.0
min_power_S18,0.0,-234.26,0.0
min_power_S16,0.0,-0.0,0.0
min_power_S15,0.0,-0.0,0.0
min_power_S38,0.0,-4.52,0.0
min_power_S37,0.0,-828.308,0.0
min_power_S36,0.0,-158.031,0.0
max_power_S7,0.0,99.8707805067528,0.0
min_power_S34,0.0,-414.6301721237909,0.0
min_power_S33,0.0,-55.071,0.0
min_power_S32,0.0,-92.337,0.0
min_power_S31,0.0,-224.351,0.0
min_power_S62,0.0,-238.033,0.0
min_power_S61,0.0,-181.015,0.0
min_power_S60,0.0,-99.368,0.0
min_power_S59,0.0,-156.828,0.0
min_power_S58,0.0,-147.325,0.0
min_power_S57,0.0,-508.1,0.0
min_power_S56,0.0,-337.8,0.0
min_power_S54,0.0,-435.8,0.0
min_power_S35,0.0,-195.683,0.0
max_chargers_S76,0.0,4.0,0.0
max_chargers_S50,0.0,17.0,0.0
max_chargers_S51,0.0,4.0,0.0
max_chargers_S52,0.0,13.0,0.0
max_chargers_S53,0.0,40.88024638524044,0.0
max_chargers_S54,0.0,10.0,0.0
max_chargers_S55,0.0,6.954,0.0
max_chargers_S56,0.0,8.0,0.0
max_chargers_S44,0.0,50.891891891891895,0.0
max_chargers_S65,0.0,70.27567567567567,0.0
max_chargers_S64,0.0,164.0,0.0
max_chargers_S63,0.0,2.0,0.0
min_power_S30,0.0,-197.81,0.0
max_chargers_S61,0.0,6.0,0.0
max_chargers_S60,0.0,9.0,0.0
max_chargers_S59,0.0,4.0,0.0
max_chargers_S29,0.0,34.96363636363636,0.0
no_install_S14,0.0,0.0,0.0
budget,0.0,2877514.9535316373,0.0
min_power_S14,0.0,-10.38,0.0
min_power_S7,0.0,-421.6892194932472,0.0
min_power_S5,0.0,-518.9147912689323,0.0
min_power_S4,0.0,-18.79,0.0
no_install_S52,0.0,0.0,0.0
no_install_S49,0.0,0.0,0.0
max_chargers_S62,0.0,5.0,0.0
max_power_S5,0.0,72.26020873106768,0.0
max_power_S4,0.0,0.0,0.0
max_power_S3,0.0,1016.6,0.0
max_power_S34,0.0,158.2018278762091,0.0
max_power_S33,0.0,76.64500000000001,0.0
max_power_S32,0.0,0.0,0.0
max_power_S31,0.0,190.245,0.0
max_power_S30,0.0,146.95,0.0
max_power_S29,0.0,353.6,0.0
max_power_S28,0.0,618.8,0.0
max_power_S27,0.0,209.95,0.0
max_power_S26,0.0,2.5,0.0
min_power_S53,0.0,-148.20957952471036,0.0
max_power_S23,0.0,221.0,0.0
max_power_S22,0.0,106.08,0.0
max_power_S21,0.0,55.14999999999999,0.0
max_power_S20,0.0,203.32000000000002,0.0
max_power_S19,0.0,167.6944327748106,0.0
max_power_S50,0.0,46.59500000000003,0.0
max_power_S49,0.0,0.0,0.0
max_power_S48,0.0,150.27999999999997,0.0
max_power_S47,0.0,371.28000000000003,0.0
max_power_S46,0.0,212.15999999999997,0.0
max_power_S45,0.0,97.24,0.0
max_power_S44,0.0,353.6,0.0
max_power_S25,0.0,221.0,0.0
min_power_S52,0.0,-32.994,0.0
min_power_S51,0.0,-0.0,0.0
min_power_S50,0.0,-253.08100000000002,0.0
min_power_S49,0.0,-72.309,0.0
max_power_S2,0.0,472.93999999999994,0.0
max_power_S1,0.0,415.48,0.0
min_power_S76,0.0,-0.0,0.0
min_power_S75,0.0,-387.63442627303965,0.0
min_power_S74,0.0,-8.94,0.0
min_power_S73,0.0,-150.861,0.0
min_power_S70,0.0,-177.524689451654,0.0
min_power_S66,0.0,-165.308,0.0
max_power_S6,0.0,265.20000000000005,0.0
min_power_S63,0.0,-32.95,0.0
max_power_S17,0.0,495.0399999999999,0.0
max_power_S16,0.0,762.45,0.0
max_power_S15,0.0,265.2,0.0
max_power_S14,0.0,7.300000000000001,0.0
max_power_S13,0.0,256.35999999999996,0.0
max_power_S12,0.0,212.16,0.0
max_power_S11,0.0,353.6,0.0
max_power_S10,0.0,532.1680000000001,0.0
max_power_S9,0.0,548.0799999999999,0.0
max_power_S8,0.0,159.12,0.0
max_chargers_S58,0.0,4.0,0.0
min_power_S64,0.0,-3467.4,0.0
